F_RING,YEAR,EXP.INC,GROUP,CS,CS_sc,brood_id,egg_index,HATCHED
DC54206,2022,Control,CONEXP,6,-0.9141479326644292,DC54206_2022_FO11D_46,5,1
DC54206,2022,Control,CONEXP,6,-0.9141479326644292,DC54206_2022_FO11D_46,6,1
DC54914,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54914_2022_FO12C_49,1,1
DC54914,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54914_2022_FO12C_49,2,1
DC54914,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54914_2022_FO12C_49,3,1
DC54914,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54914_2022_FO12C_49,4,0
DC54914,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54914_2022_FO12C_49,5,0
DC54914,2022,Heated,EXPEXP,6,-0.9141479326644292,DC54914_2022_FO12C_49,6,0
DC53101,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53101_2022_FO15D_46,1,1
DC53101,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53101_2022_FO15D_46,2,1
DC53101,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53101_2022_FO15D_46,3,0
DC53101,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53101_2022_FO15D_46,4,0
DC53101,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53101_2022_FO15D_46,5,0
DC53101,2022,Heated,EXPEXP,6,-0.9141479326644292,DC53101_2022_FO15D_46,6,0
DC55275,2022,Control,CONEXP,6,-0.9141479326644292,DC55275_2022_FO16A_48,1,1
DC55275,2022,Control,CONEXP,6,-0.9141479326644292,DC55275_2022_FO16A_48,2,1
DC55275,2022,Control,CONEXP,6,-0.9141479326644292,DC55275_2022_FO16A_48,3,1
DC55275,2022,Control,CONEXP,6,-0.9141479326644292,DC55275_2022_FO16A_48,4,1
DC55275,2022,Control,CONEXP,6,-0.9141479326644292,DC55275_2022_FO16A_48,5,0
DC55275,2022,Control,CONEXP,6,-0.9141479326644292,DC55275_2022_FO16A_48,6,0
DC54220,2022,Heated,EXPEXP,7,0.6811298321813386,DC54220_2022_FO16B_48,1,1
DC54220,2022,Heated,EXPEXP,7,0.6811298321813386,DC54220_2022_FO16B_48,2,1
DC54220,2022,Heated,EXPEXP,7,0.6811298321813386,DC54220_2022_FO16B_48,3,1
DC54220,2022,Heated,EXPEXP,7,0.6811298321813386,DC54220_2022_FO16B_48,4,0
DC54220,2022,Heated,EXPEXP,7,0.6811298321813386,DC54220_2022_FO16B_48,5,0
DC54220,2022,Heated,EXPEXP,7,0.6811298321813386,DC54220_2022_FO16B_48,6,0
DC54220,2022,Heated,EXPEXP,7,0.6811298321813386,DC54220_2022_FO16B_48,7,0
DA79522,2022,Control,CONEXP,6,-0.9141479326644292,DA79522_2022_FO72_55,1,1
DA79522,2022,Control,CONEXP,6,-0.9141479326644292,DA79522_2022_FO72_55,2,1
DA79522,2022,Control,CONEXP,6,-0.9141479326644292,DA79522_2022_FO72_55,3,1
DA79522,2022,Control,CONEXP,6,-0.9141479326644292,DA79522_2022_FO72_55,4,1
DA79522,2022,Control,CONEXP,6,-0.9141479326644292,DA79522_2022_FO72_55,5,0
DA79522,2022,Control,CONEXP,6,-0.9141479326644292,DA79522_2022_FO72_55,6,0
FO75A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FO75A_2022_2022_FO75A_45,1,1
FO75A_2022,2022,Control,CONEXP,6,-0.9141479326644292,FO75A_2022_2022_FO75A_45,2,1
