response,response_label,model_name,selected_model,term,estimate,std_error,statistic,p_value
D8_MASS,Day-8 body mass,gaussian_scale,FALSE,incubation_temperature_sc,-0.30024973640362584,0.2724753598653937,-1.1019335346577872,0.27049056821078354
D8_MASS,Day-8 body mass,gaussian_scale,FALSE,EXP.NESTHeated,0.031274696984328644,0.24416846987713936,0.12808655024158294,0.8980804797242874
D8_MASS,Day-8 body mass,gaussian_scale,FALSE,nestling_temperature_sc,-0.04397735080264062,0.2914152575363401,-0.15090956861500826,0.8800470522727046
D8_MASS,Day-8 body mass,gaussian_scale,FALSE,SEXM,0.08217356432023429,0.08590229169488565,0.9565933888248832,0.3387725270363334
D8_MASS,Day-8 body mass,gaussian_scale,FALSE,BS_sc,-0.042187413419642154,0.12024579633278523,-0.35084314550910983,0.7257060266525386
D8_MASS,Day-8 body mass,student_mean,FALSE,(Intercept),12.625372408682164,0.21380332334635174,59.05133845010271,0
D8_MASS,Day-8 body mass,student_mean,FALSE,EXP.INCHeated,-0.5261612476678071,0.24642318261975008,-2.135193783612942,0.03274518448136732
D8_MASS,Day-8 body mass,student_mean,FALSE,incubation_temperature_sc,-0.19865613369541868,0.13102424585693842,-1.5161784171787989,0.1294742439417065
D8_MASS,Day-8 body mass,student_mean,FALSE,EXP.NESTHeated,0.030579223268473007,0.2449589633841929,0.12483406545329245,0.9006549179958746
D8_MASS,Day-8 body mass,student_mean,FALSE,nestling_temperature_sc,-0.2762174614640817,0.1745757680845073,-1.58222108655064,0.11359910821306363
D8_MASS,Day-8 body mass,student_mean,FALSE,SEXM,0.15914551042093672,0.07318018483449727,2.174707685978886,0.02965202856596589
D8_MASS,Day-8 body mass,student_mean,FALSE,BS_sc,-0.010914058264473954,0.12378333405417491,-0.088170660031643,0.9297410363776186
D8_MASS,Day-8 body mass,student_scale,FALSE,(Intercept),12.593751544325894,0.31408911963016517,40.096108897865776,0
D8_MASS,Day-8 body mass,student_scale,FALSE,EXP.INCHeated,-0.5165518136144237,0.2429237448695793,-2.1263949059065825,0.03347039157236229
D8_MASS,Day-8 body mass,student_scale,FALSE,incubation_temperature_sc,-0.32079249234402774,0.31751767727580843,-1.0103138039315356,0.31234496971510384
D8_MASS,Day-8 body mass,student_scale,FALSE,EXP.NESTHeated,0.020678150578655637,0.24146570424597982,0.08563597320467056,0.9317558010047513
D8_MASS,Day-8 body mass,student_scale,FALSE,nestling_temperature_sc,0.0584800378243342,0.34453432661153705,0.16973646254490782,0.8652173971670859
D8_MASS,Day-8 body mass,student_scale,FALSE,SEXM,0.16547291707388231,0.07258842032152732,2.2796048783115417,0.022631133374670657
D8_MASS,Day-8 body mass,student_scale,FALSE,BS_sc,-0.010067608508999397,0.1249209342580139,-0.08059184450386499,0.9357665522511863
D12_MASS,Day-12 body mass,gaussian_mean,TRUE,(Intercept),13.886153442343232,0.20140467937360396,68.94652838022962,0
D12_MASS,Day-12 body mass,gaussian_mean,TRUE,EXP.INCHeated,-0.23746483482653705,0.22393821724688576,-1.0604033458243465,0.28896114070130763
D12_MASS,Day-12 body mass,gaussian_mean,TRUE,incubation_temperature_sc,-0.24771004370935307,0.12344093855655623,-2.0067090108510572,0.04478065600623051
D12_MASS,Day-12 body mass,gaussian_mean,TRUE,EXP.NESTHeated,0.07585172064847331,0.22366873985428007,0.33912526488006606,0.7345153663704569
