response,response_label,Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
Early.g,Early growth,EXP.NEST,1.0042529012667312,1.0000000001843286,98125.70382906585,1.0021241945321604,0.995765109305269,1.0191009704674237e-5,0.9999999998156716
Early.g,Early growth,incubation_temperature_sc,1.4144446220243196,1.3023049147077157,1.5681824421907,1.1893042596511287,0.706991270233559,0.6376809056751283,0.7678693282244398
Early.g,Early growth,nestling_temperature_sc,1.1711180439714242,1.0976650076990164,1.2998144951039734,1.0821820752403102,0.8538848881611122,0.7693405511068786,0.9110247598183466
Early.g,Early growth,SEX,1.0027666236871613,1.0000000000000144,533655659.75556254,1.0013823563889876,0.9972410094015809,1.873867505608473e-9,0.9999999999999857
Early.g,Early growth,BS_sc,1.1805264793364343,1.1053030557179722,1.3094858883192493,1.0865203538528094,0.8470796864819949,0.7636584776667732,0.9047292458179531
Early.g,Early growth,incubation_temperature_sc:nestling_temperature_sc,1.4360345083943133,1.3207814063268328,1.5926967360351234,1.1983465727385851,0.6963620958650495,0.6278659190885334,0.757127557376096
Late.g,Late growth,EXP.INC,1.0139453064347261,1.0000594235074647,4.272637039702997,1.0069485123057316,0.9862464904702196,0.23404749589249285,0.9999405800234786
Late.g,Late growth,EXP.NEST,1.002943978054222,1.0000000000000302,286574498.2636328,1.001470907243052,0.9970646635119805,3.4894940270646657e-9,0.9999999999999698
Late.g,Late growth,incubation_temperature_sc,1.7216799316397757,1.5616451998339889,1.9273148312948036,1.3121280164830624,0.5808280514994284,0.5188565893659328,0.6403503177970933
Late.g,Late growth,nestling_temperature_sc,1.1522881550504223,1.0807547003395632,1.287186777625864,1.0734468571151634,0.867838479131326,0.7768880300685171,0.925279343856482
Late.g,Late growth,SEX,1.0036122823033826,1.000000000003895,3350048.3265826376,1.001804513018075,0.9964007193145423,2.985031565261309e-7,0.999999999996105
Late.g,Late growth,BS_sc,1.0827842995393593,1.0291842806274663,1.2348264237759747,1.0405692190043674,0.9235449760634896,0.8098304188714238,0.9716432895674685
Late.g,Late growth,incubation_temperature_sc:nestling_temperature_sc,1.6752816336707155,1.5218437440400254,1.8738349170245387,1.2943267105606358,0.5969145604544691,0.5336649407664467,0.657097684250624
Growth,Whole-period growth,EXP.INC,1.0076787945856722,1.0000003915970241,151.5728661530969,1.003832054970189,0.9923797199792921,0.006597486907649719,0.9999996084031293
Growth,Whole-period growth,EXP.NEST,1.0035233023448473,1.0000000000018554,6690871.606416722,1.0017601021925595,0.9964890677310485,1.494573590443693e-7,0.9999999999981447
Growth,Whole-period growth,incubation_temperature_sc,2.7335421539167606,2.4298278217759313,3.101769425407995,1.6533427212519372,0.3658257102664937,0.3223966268441968,0.4115517943444702
Growth,Whole-period growth,nestling_temperature_sc,2.6878018976344924,2.3904754437792457,3.0487059001315635,1.6394517064050689,0.3720512292517131,0.32800802463656664,0.4183268238970237
Growth,Whole-period growth,SEX,1.0022730989968,1,504209541801.4438,1.0011359043590435,0.9977320562638314,1.9833024111903796e-12,1
Growth,Whole-period growth,BS_sc,1.1948878439671842,1.1143643911252403,1.3321074973816303,1.0931092552746886,0.8368986303181971,0.7506901672467008,0.8973725362762537
Growth,Whole-period growth,incubation_temperature_sc:nestling_temperature_sc,4.290240051738173,3.769725198049717,4.908575336529719,2.0712894659458327,0.23308719044633744,0.20372509973677688,0.26527132548477383
D12_SMI,Day-12 scaled mass index,EXP.INC,1.0106691263362986,1.0000089926740579,13.658109928965137,1.0053204097879933,0.9894435022716342,0.0732165728055294,0.9999910074068096
D12_SMI,Day-12 scaled mass index,EXP.NEST,1.006466396743732,1.0000000602717989,694.7620510901121,1.003227988417255,0.9935751488925483,0.0014393417119299423,0.9999999397282047
D12_SMI,Day-12 scaled mass index,incubation_temperature_sc,2.694791131834351,2.3993908572440126,3.0525480538018934,1.6415818992162259,0.3710862738810104,0.32759517045260533,0.41677244746552866
D12_SMI,Day-12 scaled mass index,nestling_temperature_sc,2.631439819098083,2.3448012306809396,2.979174187690985,1.6221713285279342,0.3800200911844325,0.33566348826855674,0.42647538175745325
D12_SMI,Day-12 scaled mass index,SEX,1.0047618312975188,1.0000000007403904,30626.784539362252,1.0023780879974975,0.9952607362768054,3.2651158619501075e-5,0.9999999992596096
D12_SMI,Day-12 scaled mass index,BS_sc,1.2110325173893481,1.128216663310288,1.3473395910164208,1.10046922600741,0.825741658990069,0.742203381142841,0.886354574010555
D12_SMI,Day-12 scaled mass index,incubation_temperature_sc:nestling_temperature_sc,4.168375721329964,3.669761304654359,4.760113195892175,2.041660040587062,0.23990159881291592,0.21007903779745574,0.2724972871482676
